email_id,email_name,subject,preview_text,email_type,send_date,delivered,opens,clicks,web_version_url,ctr,open_rate,click_to_open_rate
215919619455,Composites Leadership JotForm (Clone),The SME Composites Community Needs Your Voice,"{'body': {'value': ''}, 'child_css': {}, 'css': {}, 'id': 'preview_text', 'label': 'Preview Text <span class=help-text>This will be used as the preview text that displays in some email clients</span>', 'name': 'preview_text', 'order': 0, 'smart_type': None, 'styles': {}, 'type': 'text'}",Unclassified,2026-06-26,15540,3039,66,https://49073304.hs-sites.com/-temporary-slug-3d565643-b673-4bc7-8583-9dea597fa2a0,0.0042471042471042,0.1955598455598455,0.0217176702862783
215879910023,2026 Membership_EP Campaign #2 (Clone),Free Opportunity: Help Someone Launch Their Manufacturing Career,"{'body': {'value': 'Paid for by donations in the manufacturing industry'}, 'child_css': {}, 'css': {}, 'id': 'preview_text', 'label': 'Preview Text <span class=help-text>This will be used as the preview text that displays in some email clients</span>', 'name': 'preview_text', 'order': 0, 'smart_type': None, 'styles': {}, 'type': 'text'}",Unclassified,2026-06-26,13729,3022,97,https://49073304.hs-sites.com/-temporary-slug-8e4c82e4-8e2d-4a99-af0a-74615dd6b582,0.0070653361497559,0.2201179983975526,0.0320979483785572
216095733868,2026 Membership_Member Survey #3,Students and EPs: Last Chance to Shape SME's 2027 Programs,"{'body': {'value': 'Take a quick survey to help us plan 2027'}, 'child_css': {}, 'css': {}, 'id': 'preview_text', 'label': 'Preview Text <span class=help-text>This will be used as the preview text that displays in some email clients</span>', 'name': 'preview_text', 'order': 0, 'smart_type': None, 'styles': {}, 'type': 'text'}",Unclassified,2026-06-29,2121,340,11,https://49073304.hs-sites.com/-temporary-slug-0f678a2e-7c8a-4874-9b2f-ff9b4628556e,0.0051862329090051,0.1603017444601603,0.0323529411764705
216072172153,MW 6/30/26,Your Manufacturing Weekly Newsletter Is Here,"{'body': {'value': 'June 30, 2026 - Lockheed Wins Contract, EVs Outsell Gas'}, 'child_css': {}, 'css': {}, 'id': 'preview_text', 'label': 'Preview Text <span class=help-text>This will be used as the preview text that displays in some email clients</span>', 'name': 'preview_text', 'order': 0, 'smart_type': None, 'styles': {}, 'type': 'text'}",Newsletter,2026-06-30,36620,2345,295,https://www.facebook.com/SMEMediaNews,0.0080557072637902,0.0640360458765701,0.1257995735607676
216280378172,2026 Membership_SME Engage July 2 (Clone),Register Now: FREE SME Engagement Events,"{'body': {'value': 'Hone your professional development'}, 'child_css': {}, 'css': {}, 'id': 'preview_text', 'label': 'Preview Text <span class=help-text>This will be used as the preview text that displays in some email clients</span>', 'name': 'preview_text', 'order': 0, 'smart_type': None, 'styles': {}, 'type': 'text'}",Unclassified,2026-07-01,0,0,0,,0.0,0.0,0.0
216354216480,Digital MET Notification August,Manufacturing Engineering and Technology is LIVE!,"{'body': {'value': ""Our June/July 2026 issue celebrates the U.S.'s 250th birthday""}, 'child_css': {}, 'css': {}, 'id': 'preview_text', 'label': 'Preview Text <span class=help-text>This will be used as the preview text that displays in some email clients</span>', 'name': 'preview_text', 'order': 0, 'smart_type': None, 'styles': {}, 'type': 'text'}",Unclassified,2026-07-02,0,0,0,,0.0,0.0,0.0
216072315225,MW 7/3/26,Your Manufacturing Weekly Newsletter Is Here,"{'body': {'value': 'July 3, 2026 - Happy Independence Day Weekend!'}, 'child_css': {}, 'css': {}, 'id': 'preview_text', 'label': 'Preview Text <span class=help-text>This will be used as the preview text that displays in some email clients</span>', 'name': 'preview_text', 'order': 0, 'smart_type': None, 'styles': {}, 'type': 'text'}",Newsletter,2026-07-03,36578,3428,244,https://www.facebook.com/SMEMediaNews,0.006670676362841,0.0937175351304062,0.0711785297549591
216357887610,Digital MET Notification June/July (Supressed Test),Manufacturing Engineering and Technology is LIVE!,"{'body': {'value': ""Our June/July 2026 issue celebrates the U.S.'s 250th birthday""}, 'child_css': {}, 'css': {}, 'id': 'preview_text', 'label': 'Preview Text <span class=help-text>This will be used as the preview text that displays in some email clients</span>', 'name': 'preview_text', 'order': 0, 'smart_type': None, 'styles': {}, 'type': 'text'}",Unclassified,2026-07-02,10255,544,25,https://49073304.hs-sites.com/-temporary-slug-53f42ee8-a1ba-47fb-8e64-867c20c531c3,0.0024378352023403,0.0530472940029254,0.0459558823529411
216174898713,2026 Membership_SME Engage July 2,Register Now: FREE SME Engagement Events,"{'body': {'value': 'Hone your professional development'}, 'child_css': {}, 'css': {}, 'id': 'preview_text', 'label': 'Preview Text <span class=help-text>This will be used as the preview text that displays in some email clients</span>', 'name': 'preview_text', 'order': 0, 'smart_type': None, 'styles': {}, 'type': 'text'}",Unclassified,2026-07-01,7059,1330,116,https://49073304.hs-sites.com/register-now-free-sme-engagement-events,0.0164329225102705,0.1884119563677574,0.0872180451127819
216367037775,Digital MET Notification June/July (Redux),Manufacturing Engineering and Technology is LIVE!,"{'body': {'value': ""Our June/July 2026 issue celebrates the U.S.'s 250th birthday""}, 'child_css': {}, 'css': {}, 'id': 'preview_text', 'label': 'Preview Text <span class=help-text>This will be used as the preview text that displays in some email clients</span>', 'name': 'preview_text', 'order': 0, 'smart_type': None, 'styles': {}, 'type': 'text'}",Unclassified,2026-07-02,20915,1268,76,https://49073304.hs-sites.com/-temporary-slug-c1148bd5-8ab9-4cd0-8b61-269306c7b64e,0.0036337556777432,0.0606263447286636,0.0599369085173501
